https://www.transport.act.gov.au/__data/assets/file/0006/1249692/AllStops.csv
#
#
#
Stop	Description	Latitude	Longitude	Street
2510	Burrinjuck Cr after Kallara Cl	-35.33957914	149.0367646	BURRINJUCK CR
2513	Mulley St opp Canberra Montessori School	-35.33265029	149.0489174	MULLEY ST
2514	Mulley St before Dixon Dr	-35.33070407	149.0483787	MULLEY ST
2520	Beasley St opp Torrens Shops	-35.37364294	149.0871062	BEASLEY ST
2521	Namatjira Dr after Bunbury St	-35.34709273	149.0570107	NAMATJIRA DR
2522	Streeton Dr opp Darwinia Tce	-35.35240553	149.0417424	STREETON DR
2523	Streeton Dr opp Bangalay Cr	-35.35088271	149.0422334	STREETON DR
2530	Gilmore Cr at 1st Ingamells St	-35.3394949	149.1035608	GILMORE CR
2531	Gilmore Cr after Sabine Cl	-35.33965874	149.104092	GILMORE CR
2532	Gilmore Cr after 2nd Ingamells St	-35.34006708	149.107456	GILMORE CR
2533	Gilmore Cr opp 1st Ingamells St	-35.34005725	149.1070894	GILMORE CR
2534	Garran Shops Gilmore Cr	-35.34204507	149.1087925	GILMORE CR
2535	Gilmore Cr opp Garran Shops	-35.34208611	149.1089718	GILMORE CR
2536	Gilmore Cr before Hartigan St	-35.3434764	149.1088572	GILMORE CR
2537	Gilmore Cr after Hopegood Pl	-35.34424985	149.1080323	GILMORE CR
2539	Gilmore Cr opp 1st Eldridge Cr	-35.34499695	149.1070637	GILMORE CR
2540	Hughes Shops Wisdom St	-35.33292011	149.0941792	WISDOM ST
2542	Streeton Dr before Namatjira Dr	-35.35568142	149.0488335	STREETON DR
2553	Gold Creek PS Kelleway Av	-35.18151955	149.1006587	KELLEWAY AV
2554	UC High School Kaleen School Grounds SSO	-35.22556414	149.1007841	PRIVATE RD
2555	St Francis Xavier College Barnard Cct SSO	-35.22469528	149.0418428	BARNARD CCT
2556	Melbourne Av before Empire Cct	-35.31663846	149.116575	MELBOURNE AV
2557	Canberra Girls Grammar Junior School Grounds	-35.31218061	149.1114712	JUNIOR GIRLS GRAMMAR SCHOOL
2558	Daramalan College Cowper St	-35.25264544	149.1393513	COWPER ST
2560	Ipima St before Wise St	-35.2661062	149.1368716	IPIMA ST
2561	Phillip Av opp Dickson College SSO	-35.24880561	149.1548621	PHILLIP AV
2562	Forrest PS Hobart Av SSO	-35.31516072	149.1251143	HOBART AV
2563	Starke St after Powell St	-35.22771415	149.0181098	STARKE ST
2564	St John the Apostle PS Barnard Cct SSO	-35.22488184	149.0417925	BARNARD CCT
2565	Warragamba Av before Eucumbene Dr	-35.33103575	149.0296295	WARRAGAMBA AV
2566	Warragamba Av after Eucumbene Dr	-35.33091743	149.0298037	WARRAGAMBA AV
2569	Melba HS School Grounds SSO	-35.21388695	149.0490989	PRIVATE RD
2571	Narrabundah College Jerrabomberra Av	-35.33586808	149.1478934	JERRABOMBERRA AV
2572	St Michaels PS Tyrell Cct	-35.22360682	149.108981	TYRRELL CCT
2576	Astrolabe St Red Hill PS SSO	-35.3394005	149.1324997	ASTROLABE ST
2577	St Matthews PS Stutchbury St SSO	-35.23991274	149.0425441	STUTCHBURY ST
2580	Telopea Park School New South Wales Cr SSO	-35.31509213	149.1338167	NEW SOUTH WALES CR
2581	Brindabella Christian College Brigalow St	-35.24928957	149.1274197	BRIGALOW ST
2582	Streeton Dr after Namatjira Dr	-35.35570814	149.0486405	STREETON DR
2586	Parliament House Parliament Dr Southbound	-35.30726845	149.122739	PARLIAMENT DR
2587	Parliament House Parliament Dr Northbound	-35.3090766	149.1260867	PARLIAMENT DR
2589	Cooleman Court Interchange Plt 3	-35.34098965	149.0523418	BRIERLY ST
2591	Namatjira Dr after Parkinson St	-35.34305374	149.0573979	NAMATJIRA DR
2592	Callam St after Hindmarsh Dr	-35.34819038	149.0893426	CALLAM ST
2593	Melbourne Av after Somers Cr	-35.31292811	149.1205246	MELBOURNE AV
2594	Melbourne Av at National Cct	-35.31461134	149.1190254	MELBOURNE AV
2595	Melbourne Av at Empire Cct	-35.31641266	149.1174226	MELBOURNE AV
2596	Kingston Shops Eyre St	-35.31662475	149.1418134	EYRE ST
2597	Brigalow St opp Brindabella Christian College	-35.24901424	149.1272872	BRIGALOW ST
2598	Kingston Shops Giles St	-35.31580236	149.140198	GILES ST
2601	Canberra Hospital Hospital Rd	-35.34632212	149.101786	HOSPITAL RD
2604	Bateson Rd before Canberra Hospital	-35.34868703	149.1027011	BATESON RD
2609	Southlands Shops Athllon Dr	-35.36490767	149.0926205	ATHLLON DR
